id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
916	family	-0.7245	-0.4251	7	18	32	12	2011.25	10.0833	0.591
954	field	0.6715	-0.2643	6	59	194	78	1961.2949	7.4359	0.8024
968	field theory	0.8517	0.3486	6	25	66	30	2014.7667	4.5	0.8171
988	food	-0.3526	0.3175	2	16	22	6	2012.5	7.1667	0.8323
1006	forms of capital	0.0763	-0.1426	4	13	20	6	2012.5	10.6667	0.989
1045	gender	-0.2157	-0.0633	7	56	183	64	2011.9062	15.3906	0.9257
1092	globalization	0.0425	0.5744	6	23	39	16	2011.1875	18.75	1.3466
1122	habits	0.635	-0.7906	3	9	18	8	2013.75	5.75	0.5384
1123	habitus	0.1211	-0.5107	3	92	526	281	1991.3594	10.2527	0.9233
1166	higher education	-0.4851	-0.488	5	31	79	29	1945.1034	10.8276	1.557
1202	human capital	-1.2273	0.1702	7	11	22	10	2015.6	3	0.5205
1216	identity	-0.3861	-0.6924	3	31	74	28	1939.3214	24.6786	1.1894
1229	immigration	-0.4961	-0.1204	7	25	59	23	1925.7826	20.3043	1.6871
1244	inequality	-0.4528	-0.0007	8	26	63	22	2012.4545	20.9545	1.5218
1261	institutional habitus	-0.5329	-0.6341	10	4	7	7	2014	11.5714	1.0379
1311	intersectionality	-0.2752	-0.258	2	13	17	6	1677.1667	21.3333	1.4931
1358	knowledge	0.6667	-0.4758	9	8	13	6	2013.8333	9	1.9565
1435	lifestyle	-0.3284	0.102	11	24	62	22	2014.5455	4.9545	1.1218
1443	literature	0.9651	0.4696	6	14	28	6	2015.1667	2.6667	0.8185
1491	markets	1.025	0.1552	6	12	18	7	2010.5714	4.4286	0.4973
1494	masculinity	0.0129	-0.7594	3	15	30	14	2012.0714	12.2143	1.019
1505	max weber	0.7236	0.5438	1	7	12	6	2015.5	4.6667	1.5533
1514	media	0.6999	0.0604	4	13	17	6	2014	7.1667	0.7159
1541	methodology	0.295	0.4926	1	18	27	9	2012.4444	6.2222	0.38
1550	middle class	-0.5537	0.4712	2	15	27	12	2012.6667	6.9167	0.8815
1575	mobility	-0.2608	-0.6625	7	8	13	6	2015.8333	5	1.1098
1596	morality	0.2765	-0.2509	6	14	18	7	2013.7143	5.1429	0.9491
1618	multiple correspondence analysis	-0.1916	0.8056	1	17	36	13	2014.4615	6.4615	1.0708
1627	music	0.4193	0.6184	1	28	65	17	2014.0588	4.9412	0.6273
1672	neoliberalism	0.721	0.2811	8	13	28	11	2015.1818	16.1818	1.9564
1676	networks	0.1363	0.6097	1	15	18	7	2011.1429	15.5714	1.09
1704	norbert	0.3482	-0.9411	3	8	13	7	2010.7143	5	0.4134
1796	parents	-0.3523	-0.5623	2	17	24	6	2015	10.6667	1.2321
1888	politics	-0.203	-0.4803	4	11	17	7	1724.8571	4.8571	0.5928
1914	poverty	0.4602	0.4694	8	15	20	6	2014.6667	26.8333	2.2083
1916	power	0.728	-0.0197	8	25	48	16	2013.75	4.625	0.6403
1924	practice	0.5203	-0.2235	3	19	34	13	2014.6923	3.7692	0.8964
1976	professions	0.5241	0.3572	9	10	15	7	2013.4286	7	1.5452
2009	publishing	1.0727	0.4815	6	11	25	6	2015	1.1667	0.4628
2030	race	-0.4013	0.4079	2	27	65	21	2013.381	6.4286	0.5879
2043	racism	-0.3962	-0.3688	2	15	24	10	2011.7	10.6	1.5416
2077	reflexivity	0.1811	-0.7862	3	34	82	37	2011.7297	17.6216	1.0413
2105	religion	-0.2825	-0.3528	8	18	35	13	2012.6154	6	0.4699
2113	reproduction	0.043	-0.2578	7	10	19	8	2014.75	8.875	0.6419
2185	school choice	-0.9804	0.0429	2	9	14	6	2015	4.8333	1.0259
2203	schooling	-0.8938	-0.0174	2	17	27	10	2011.4	20.1	1.5504
2279	social capital	-0.9918	0.2792	7	53	166	82	2012.939	8.3902	0.6935
2280	social change	0.5398	-0.7049	3	9	16	6	2012.3333	34.8333	1.6985
2281	social class	-0.5481	-0.2826	2	67	223	104	1994.6442	13.4038	1.3881
2297	social field	0.6045	-0.0456	8	8	17	8	2012.5	5.125	0.6648
2305	social inequality	-0.3752	0.5985	5	18	27	11	2015.5455	6.3636	1.0702
2314	social mobility	-0.8174	-0.1288	7	30	75	28	1941.6071	10.1071	1.5955
2316	social movements	0.8384	-0.4331	3	13	26	11	2008.7273	9.9091	0.5
2318	social networks	-0.7017	0.6307	7	16	37	15	2011.8667	22.0667	1.2937
2326	social practice	0.5926	-0.5291	3	6	11	6	2014.5	9.5	1.6755
2329	social reproduction	-0.3793	-0.155	5	8	13	6	2014.5	5.1667	0.2794
2336	social space	-0.0915	-0.1616	4	27	54	19	2014.1579	4.8421	1.0201
2339	social stratification	-0.9704	-0.0957	2	9	14	7	2014	20.4286	1.9556
2344	social theory	0.8788	-0.2124	8	15	27	10	2015	4.1	1.3298
2355	socialization	0.5036	-0.8082	4	18	28	11	1829.8182	5.6364	0.7735
2379	sociology	0.8364	0.0714	4	18	29	10	2013.3	2.6	0.2776
2382	sociology of art	0.6368	0.8109	1	8	18	9	2011.5556	12.1111	0.8762
2445	sport	0.4788	-0.6327	4	18	26	9	2012.1111	11.1111	0.9259
2457	state	0.9429	0.1632	8	11	19	6	2014.8333	27.6667	1.8846
2460	status	0.0196	0.8508	1	21	29	6	2014.6667	17.1667	2.8145
2473	stratification	-0.6673	-0.0775	5	32	58	18	2012.5556	24.0556	2.4767
2479	structure	0.568	-0.4473	9	12	21	7	2011.7143	5.7143	1.3495
2521	symbolic capital	0.2603	0.6388	6	30	55	38	2013.2368	5.1316	0.5404
2529	symbolic power	0.7598	0.1478	8	19	32	14	2013.5714	4.5	0.8414
2533	symbolic violence	-0.1317	-0.367	5	22	40	16	2013	8.625	1.0204
2548	taste	-0.0948	0.6855	1	27	67	25	1933.4	11.24	1.4275
2609	time	0.5026	-0.5336	4	8	13	6	2012.3333	8.5	1.0812
2640	transition	-0.2188	-0.7831	3	11	17	8	2016	1.625	1.1542
2660	transnationalism	-0.6864	0.4594	5	16	28	12	2013.3333	4.6667	0.8213
2673	turkey	-0.4046	0.7122	5	15	24	8	2016.75	2.125	0.5263
2693	university	-0.3584	-0.2165	9	12	19	7	2014.5714	18.5714	1.9347
2720	violence	0.4026	-0.7609	3	11	15	8	2011.125	8.375	0.4001
2757	whiteness	-0.1711	-0.2788	2	18	29	9	2012.7778	10.4444	1.8975
2758	widening participation	-0.5979	-0.601	5	9	15	7	2011.2857	6.4286	0.5045
2798	young people	-0.6509	-0.5014	2	17	27	10	2015.1	3.3	0.665
2800	youth	-0.3166	-0.482	3	19	38	16	1887.1875	12.375	1.096
2822	ınequality	-0.7847	-0.4847	9	15	20	9	2015.7778	9.5556	1.9902
